Service Request Type,Model,Mean Absolute Error,Mean Absolute Percentage Error,Total Requests,Latency
ADA Request (Transportation),Linear Regression,1.6917126511854619,75.49953062734144,167,0.0017537117004394532
Abandoned Vehicle,Random Forest,1.365566666666666,72.75841269841267,21,0.07685680389404297
Animal Noise,Random Forest,9.410021639118456,24.51769528916413,2265,0.08046064376831055
Business Related Complaint,Linear Regression,5.2523638208378,34.664436343728084,861,0.0016167163848876953
Business Violation of Public Health Requirements,LightGBM,21.9,71.97547244422245,250,0.011313581466674804
Clogged Storm Drain,Linear Regression,4.74380244586028,4.485917121407305,10412,0.0015152454376220702
Damaged Sidewalk,Linear Regression,8.542584890358324,10.351570974625123,4457,0.0015521526336669921
Dead Animal,Linear Regression,18.159706197465006,17.068157760061396,5798,0.001543283462524414
General Inquiry - Animal Shelter,XGBoost,17.870280463478785,28.832265935279406,3754,0.14024715423583983
General Inquiry - City Light,Linear Regression,1.4483575252606868,0.5732818340648228,14013,0.0014845371246337891
General Inquiry - Customer Service Bureau,Linear Regression,1.286548677097954,0.08547029302281771,80177,0.0014870166778564453
General Inquiry - Police Department,Linear Regression,7.940331822382406,8.781063520632127,4716,0.0015487194061279297
General Inquiry - Public Utilities,Linear Regression,0.20159793391284078,0.14015626357683914,8080,0.0014866352081298827
General Inquiry - Transportation,Linear Regression,1.1612420278891524,0.1948477001271523,33579,0.0014939308166503906
Graffiti,Linear Regression,6.033708301603022,0.2990388671400527,103381,0.0015199661254882812
Illegal Dumping / Needles,Linear Regression,53.94903200679082,2.3509353642752533,115780,0.00147552490234375
Internet/Cable Issue,Random Forest,16.738692323232325,37.58165940352327,2265,0.08122501373291016
Overgrown Vegetation,XGBoost,158.24234042080965,40.7257522393041,24748,0.1441929817199707
Parking Enforcement,Linear Regression,13.484949012252684,0.5472621669209434,130806,0.0015078544616699218
Parks and Recreation Maintenance,Linear Regression,117.30113292726985,120.78805102744968,35326,0.0015120506286621094
Pollution Report Form,LightGBM,1.9849999961852993,57.307030972757744,281,0.017845535278320314
Pothole,XGBoost,188.05469027432528,23.10157727761115,46133,0.1401623249053955
Public Garage or Parking Lot Complaint,Linear Regression,1.5649262872064127,45.68703196283601,216,0.0015109062194824218
Public Litter and Recycling Cans,Linear Regression,45.41632470824793,117.23706889505347,7626,0.0014949798583984374
Safe Routes to School,Linear Regression,2.1148818209660347,72.46811144972865,127,0.0015062808990478516
Scooter or Bike Share Issue,Random Forest,43.350680279417574,22.12660394997987,19470,0.08027868270874024
Street Sign and Traffic Signal Maintenance,Linear Regression,29.448014014269376,4.073172816801909,20469,0.0015294075012207032
Streetlight Maintenance,Random Forest,49.74182496200768,15.957211471619534,17242,0.08271512985229493
Towing Impound Complaint,Linear Regression,2.516170593495035,55.75507173597212,379,0.0014776229858398438
Traffic Calming,Linear Regression,2.4439483103963497,46.28803068512413,191,0.0015557765960693359
Wireless or Small Cell Issue,Random Forest,1.0072596921596921,64.30121280262946,55,0.07819061279296875
Towing Complaint - Public Impound,LightGBM,2.4991591591591593,90.80414592081259,247,0.011456632614135742
Abandoned Vehicle/72hr Parking Ordinance,Random Forest,234.9128978144541,6.517198929011016,175332,0.08204665184020996
Nightlife Noise Complaint,XGBoost,0.4658376495043436,33.59605020946926,21,0.07095036506652833
Unauthorized Encampment,Linear Regression,1.1496130360923726,0.0499041506630739,127271,0.0015106678009033203
Feedback about the Customer Service Requests Portal,Linear Regression,1.2890046369296033,56.8416062343235,71,0.0014801502227783203
"Feedback about the Find It, Fix It mobile app",Linear Regression,1.0454816753491472,54.530752119061255,64,0.0015084266662597657
Found a Pet,Linear Regression,10.140827444512523,67.12597269273017,720,0.0015096187591552735
Lost a Pet,Linear Regression,0.07244124573523274,0.1829416818198138,1083,0.0015101909637451171
Street Sign Maintenance,Random Forest,87.04443662698414,47.9207511093491,13635,0.07758140563964844
Traffic Signal Maintenance,Linear Regression,10.25626707188847,3.460450504914739,6532,0.0016445636749267579
Snow and Ice,XGBoost,28.738207960128783,153.7427861371666,203,0.09289836883544922
Nuisance dogs in a park,Linear Regression,7.3272797830470155,5.128536019496397,2171,0.001479196548461914
Bicycle Facility Maintenance,Linear Regression,2.002398240853381,1.4388632995209085,652,0.0014669418334960938
